,State,Electoral Vote of Each State,"George Bush,
        of Texas","Michael S. Dukakis,
        of Massachusetts","Lloyd Bentsen,
        of Texas","James Danforth Quayle,
        of Indiana","Lloyd Bentsen,
        of Texas","Michael S. Dukakis,
        of Massachusetts"
2,Alabama,9,9,-,-,9,-,-
3,Alaska,3,3,-,-,3,-,-
4,Arizona,7,7,-,-,7,-,-
5,Arkansas,6,6,-,-,6,-,-
6,California,47,47,-,-,47,-,-
7,Colorado,8,8,-,-,8,-,-
8,Connecticut,8,8,-,-,8,-,-
9,Delaware,3,3,-,-,3,-,-
10,District of Columbia,3,-,3,-,-,3,-
11,Florida,21,21,-,-,21,-,-
12,Georgia,12,12,-,-,12,-,-
13,Hawaii,4,-,4,-,-,4,-
14,Idaho,4,4,-,-,4,-,-
15,Illinois,24,24,-,-,24,-,-
16,Indiana,12,12,-,-,12,-,-
17,Iowa,8,-,8,-,-,8,-
18,Kansas,7,7,-,-,7,-,-
19,Kentucky,9,9,-,-,9,-,-
20,Louisiana,10,10,-,-,10,-,-
21,Maine,4,4,-,-,4,-,-
22,Maryland,10,10,-,-,10,-,-
23,Massachusetts,13,-,13,-,-,13,-
24,Michigan,20,20,-,-,20,-,-
25,Minnesota,10,-,10,-,-,10,-
26,Mississippi,7,7,-,-,7,-,-
27,Missouri,11,11,-,-,11,-,-
28,Montana,4,4,-,-,4,-,-
29,Nebraska,5,5,-,-,5,-,-
30,Nevada,4,4,-,-,4,-,-
31,New Hampshire,4,4,-,-,4,-,-
32,New Jersey,16,16,-,-,16,-,-
33,New Mexico,5,5,-,-,5,-,-
34,New York,36,-,36,-,-,36,-
35,North Carolina,13,13,-,-,13,-,-
36,North Dakota,3,3,-,-,3,-,-
37,Ohio,23,23,-,-,23,-,-
38,Oklahoma,8,8,-,-,8,-,-
39,Oregon,7,-,7,-,-,7,-
40,Pennsylvania,25,25,-,-,25,-,-
41,Rhode Island,4,-,4,-,-,4,-
42,South Carolina,8,8,-,-,8,-,-
43,South Dakota,3,3,-,-,3,-,-
44,Tennessee,11,11,-,-,11,-,-
45,Texas,29,29,-,-,29,-,-
46,Utah,5,5,-,-,5,-,-
47,Vermont,3,3,-,-,3,-,-
48,Virginia,12,12,-,-,12,-,-
49,Washington,10,-,10,-,-,10,-
50,West Virginia,6,-,5,1,-,5,1
51,Wisconsin,11,-,11,-,-,11,-
52,Wyoming,3,3,-,-,3,-,-
