,State,Electoral Vote of Each State,"George W. Bush, of Texas","Albert Gore, Jr., of Tennessee","Richard B. Cheney, of Wyoming","Joseph Lieberman, of Connecticut"
2,Alabama,9,9,-,9,-
3,Alaska,3,3,-,3,-
4,Arizona,8,8,-,8,-
5,Arkansas,6,6,-,6,-
6,California,54,-,54,-,54
7,Colorado,8,8,-,8,-
8,Connecticut,8,-,8,-,8
9,Delaware,3,-,3,-,3
10,District of Columbia,3,-,2,-,2
11,Florida,25,25,-,25,-
12,Georgia,13,13,-,13,-
13,Hawaii,4,-,4,-,4
14,Idaho,4,4,-,4,-
15,Illinois,22,-,22,-,22
16,Indiana,12,12,-,12,-
17,Iowa,7,-,7,-,7
18,Kansas,6,6,-,6,-
19,Kentucky,8,8,-,8,-
20,Louisiana,9,9,-,9,-
21,Maine,4,-,4,-,4
22,Maryland,10,-,10,-,10
23,Massachusetts,12,-,12,-,12
24,Michigan,18,-,18,-,18
25,Minnesota,10,-,10,-,10
26,Mississippi,7,7,-,7,-
27,Missouri,11,11,-,11,-
28,Montana,3,3,-,3,-
29,Nebraska,5,5,-,5,-
30,Nevada,4,4,-,4,-
31,New Hampshire,4,4,-,4,-
32,New Jersey,15,-,15,-,15
33,New Mexico,5,-,5,-,5
34,New York,33,-,33,-,33
35,North Carolina,14,14,-,14,-
36,North Dakota,3,3,-,3,-
37,Ohio,21,21,-,21,-
38,Oklahoma,8,8,-,8,-
39,Oregon,7,-,7,-,7
40,Pennsylvania,23,-,23,-,23
41,Rhode Island,4,-,4,-,4
42,South Carolina,8,8,-,8,-
43,South Dakota,3,3,-,3,-
44,Tennessee,11,11,-,11,-
45,Texas,32,32,-,32,-
46,Utah,5,5,-,5,-
47,Vermont,3,-,3,-,3
48,Virginia,13,13,-,13,-
49,Washington,11,-,11,-,11
50,West Virginia,5,5,-,5,-
51,Wisconsin,11,-,11,-,11
52,Wyoming,3,3,-,3,-
