,State,Electoral Vote of Each State,Dwight D. Eisenhower of New York,Adlai Stevenson of Illinois,Walter B. Jones of Alabama,Richard M. Nixon of California,Estes Kefauver of Tennessee,Herman Talmadge of Georgia
2,Alabama,11,-,10,1,-,10,1
3,Arizona,4,4,-,-,4,-,-
4,Arkansas,8,-,8,-,-,8,-
5,California,32,32,-,-,32,-,-
6,Colorado,6,6,-,-,6,-,-
7,Connecticut,8,8,-,-,8,-,-
8,Delaware,3,3,-,-,3,-,-
9,Florida,10,10,-,-,10,-,-
10,Georgia,12,-,12,-,-,12,-
11,Idaho,4,4,-,-,4,-,-
12,Illinois,27,27,-,-,27,-,-
13,Indiana,13,13,-,-,13,-,-
14,Iowa,10,10,-,-,10,-,-
15,Kansas,8,8,-,-,8,-,-
16,Kentucky,10,10,-,-,10,-,-
17,Louisiana,10,10,-,-,10,-,-
18,Maine,5,5,-,-,5,-,-
19,Maryland,9,9,-,-,9,-,-
20,Massachusetts,16,16,-,-,16,-,-
21,Michigan,20,20,-,-,20,-,-
22,Minnesota,11,11,-,-,11,-,-
23,Mississippi,8,-,8,-,-,8,-
24,Missouri,13,-,13,-,-,13,-
25,Montana,4,4,-,-,4,-,-
26,Nebraska,6,6,-,-,6,-,-
27,Nevada,3,3,-,-,3,-,-
28,New Hampshire,4,4,-,-,4,-,-
29,New Jersey,16,16,-,-,16,-,-
30,New Mexico,4,4,-,-,4,-,-
31,New York,45,45,-,-,45,-,-
32,North Carolina,14,-,14,-,-,14,-
33,North Dakota,4,4,-,-,4,-,-
34,Ohio,25,25,-,-,25,-,-
35,Oklahoma,8,8,-,-,8,-,-
36,Oregon,6,6,-,-,6,-,-
37,Pennsylvania,32,32,-,-,32,-,-
38,Rhode Island,4,4,-,-,4,-,-
39,South Carolina,8,-,8,-,-,8,-
40,South Dakota,4,4,-,-,4,-,-
41,Tennessee,11,11,-,-,11,-,-
42,Texas,24,24,-,-,24,-,-
43,Utah,4,4,-,-,4,-,-
44,Vermont,3,3,-,-,3,-,-
45,Virginia,12,12,-,-,12,-,-
46,Washington,9,9,-,-,9,-,-
47,West Virginia,8,8,-,-,8,-,-
48,Wisconsin,12,12,-,-,12,-,-
49,Wyoming,3,3,-,-,3,-,-
50,Totals,531,457,73,1,457,73,1
