,State,Electoral Vote of Each State,"Barack Obama, of Illinois","John McCain, of Arizona","Joe Biden, of Delaware","Sarah Palin, of Alaska"
2,Alabama,9,-,9,-,9
3,Alaska,3,-,3,-,3
4,Arizona,10,-,10,-,10
5,Arkansas,6,-,6,-,6
6,California,55,55,-,55,-
7,Colorado,9,9,-,9,-
8,Connecticut,7,7,-,7,-
9,Delaware,3,3,-,3,-
10,District of Columbia,3,3,-,3,-
11,Florida,27,27,-,27,-
12,Georgia,15,-,15,-,15
13,Hawaii,4,4,-,4,-
14,Idaho,4,-,4,-,4
15,Illinois,21,21,-,21,-
16,Indiana,11,11,-,11,-
17,Iowa,7,7,-,7,-
18,Kansas,6,-,6,-,6
19,Kentucky,8,-,8,-,8
20,Louisiana,9,-,9,-,9
21,Maine,4,4,-,4,-
22,Maryland,10,10,-,10,-
23,Massachusetts,12,12,-,12,-
24,Michigan,17,17,-,17,-
25,Minnesota,10,10,-,10,-
26,Mississippi,6,-,6,-,6
27,Missouri,11,-,11,-,11
28,Montana,3,-,3,-,3
29,"Nebraska
        (see Notes)",5,1,4,1,4
30,Nevada,5,5,-,5,-
31,New Hampshire,4,4,-,4,-
32,New Jersey,15,15,-,15,-
33,New Mexico,5,5,-,5,-
34,New York,31,31,-,31,-
35,North Carolina,15,15,-,15,-
36,North Dakota,3,-,3,-,3
37,Ohio,20,20,-,20,-
38,Oklahoma,7,-,7,-,7
39,Oregon,7,7,-,7,-
40,Pennsylvania,21,21,-,21,-
41,Rhode Island,4,4,-,4,-
42,South Carolina,8,-,8,-,8
43,South Dakota,3,-,3,-,3
44,Tennessee,11,-,11,-,11
45,Texas,34,-,34,-,34
46,Utah,5,-,5,-,5
47,Vermont,3,3,-,3,-
48,Virginia,13,13,-,13,-
49,Washington,11,11,-,11,-
50,West Virginia,5,-,5,-,5
51,Wisconsin,10,10,-,10,-
52,Wyoming,3,-,3,-,3
